version,filename,type,role,evidence,availability,evidence_url,view_url,download_url,git_object_id,size_bytes,notes
2.0,EditServer.exe,EXE,Server/payload configuration application,Observed in modern lab analysis,record-only,https://iss4cf0ng.github.io/2026/02/18/2026-2-18-Subseven/,,,,,
2.0,server.exe,EXE,Configurable payload/server stub,Observed in modern lab analysis,record-only,https://iss4cf0ng.github.io/2026/02/18/2026-2-18-Subseven/,,,,,
2.0,Controller executable exact filename unverified,EXE,Operator-side controller,GUI observed but filename not established by cited article,record-only,https://iss4cf0ng.github.io/2026/02/18/2026-2-18-Subseven/,,,,,
2.1.3 BONUS,Delphi/Object Pascal source tree,Source,Historical 2.1.3 source publication,Repository publisher identifies it as SubSeven 2.1.3 source,hazardous-source,https://gitlab.com/illwill/sub7,,,,,Source is cataloged for provenance but not mirrored here
2.2,sub7.exe,EXE,Controller/client application,Confirmed on release catalog,record-only,https://www.malware.museum/release/subseven/22/,,,,,
2.2,EditServer.exe,EXE,Server/payload configuration application,Confirmed on release catalog,record-only,https://www.malware.museum/release/subseven/22/,,,,,
2.2,server.exe,EXE,Configurable remote payload/server component,Confirmed on release catalog,record-only,https://www.malware.museum/release/subseven/22/,,,,,
2.2,sin.exe,EXE,Static IP Notifier utility,Confirmed on release catalog and period FAQ,record-only,https://gbppr.net/2600/sub7/faq.html,,,,,
2.2,Plugin DLLs individual names not recovered,DLL,Optional extension architecture,Plugin design documented; exact distributed names unresolved,record-only,https://gbppr.net/2600/sub7/downloads.html,,,,,
2.1.5 Legends,SubSeven.exe,EXE,Controller/client application,Named in surviving package documentation,record-only,https://cheaters-heaven.com/games/tools/33758-sub-7-v-2-1-5.html,,,,,
2.1.5 Legends,server.exe,EXE,Remote payload/server component,Named in surviving package documentation,record-only,https://cheaters-heaven.com/games/tools/33758-sub-7-v-2-1-5.html,,,,,
2.1.5 Legends,EditServer.exe,EXE,Server/payload configuration application,Named in surviving package documentation,record-only,https://cheaters-heaven.com/games/tools/33758-sub-7-v-2-1-5.html,,,,,
2.1.5 Legends,ICQMAPI.dll,DLL,ICQ integration support library,Named in surviving package documentation,record-only,https://cheaters-heaven.com/games/tools/33758-sub-7-v-2-1-5.html,,,,,
2.3,EditServer.exe,EXE,Configuration application,Observed/described in modern lab analysis,record-only,https://iss4cf0ng.github.io/2026/02/18/2026-2-18-Subseven/,,,,,
2.3,server.exe,EXE,Builder stub / payload component,Observed/described in modern lab analysis,record-only,https://iss4cf0ng.github.io/2026/02/18/2026-2-18-Subseven/,,,,,
Legacy 0.1 Alpha,Sub7Viewer.exe,EXE,Viewer/controller application,Declared output in official viewer installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,,,,Compiled executable is a declared build output not a standalone download
Legacy 0.1 Alpha,CertGenerator.exe,EXE,TLS certificate generator,Declared output in official installer manifests,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/CertGen/CertGenerator.dproj,,,,Declared build output
Legacy 0.1 Alpha,Sub7Service.exe,EXE,Windows service component,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Service/Sub7Service.dproj,,,,Declared build output
Legacy 0.1 Alpha,Sub7Helper.exe,EXE,Helper application,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Helper/Sub7Helper.dproj,,,,Declared build output
Legacy 0.1 Alpha,Sub7ServerTray.exe,EXE,Service controller / tray application,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/Tray/Sub7ServerTray.dproj,,,,Declared build output
Legacy 0.1 Alpha,SecureDesktop.dll,DLL,Secure-desktop project output,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://github.com/DarkCoderSc/SubSeven/tree/main/SecureDesktop,,,,Declared build output
Legacy 0.1 Alpha,bass.dll x86-32,DLL,BASS audio dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/bass.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/bass.dll,4be426435d68166192b1e2af91ffeb98745ff309,128181,Third-party dependency in modern Legacy repository
