type,name,drive_id,size_bytes,mime_type,historical_role,public_archive_action,notes
folder,Sub7,15NlxN94xW_q8zdpwoZ_kzWws5SDOAVoP,,application/vnd.google-apps.folder,URL crawl / site-history collection,metadata only,
folder,Sub7,1zEfR8kmCzWfkZpzrexGs0MAcQGx6cZK0,,application/vnd.google-apps.folder,Duplicate/older URL crawl collection,metadata only,
folder,Sub7,1aN9mkZEaot0NXC0cCHyRt8_ztiSdrQqn,,application/vnd.google-apps.folder,Historical release collection,metadata only,
folder,Other Sub7,1H7064nF8ehE2Qy53O9UPsZcoxTzd3wzo,,application/vnd.google-apps.folder,Ancillary historical packages,metadata only,
file,_sub7crew_org_all_urls.txt,1gFZp58rI7rhz9sbodkQg3kzMuQKsdOlw,548749,text/plain,Historical URL crawl,mirrored,raw URL data
file,_sub7crew_org_all_urls.txt,1zboj6XrYfYlulDvWg596GXzm30BbGM0B,548749,text/plain,Duplicate historical URL crawl,deduplicated,duplicate copy
file,_sub7_net_all_urls.txt,1T-Y4BJpZY72im5afEZ7kfHLNLqea8sZM,65336,text/plain,Historical URL crawl,mirrored,raw URL data
file,_sub7_net_all_urls.txt,1m55bi0fC-HV8ey5SdTe7GcpvytfgpkvF,65336,text/plain,Duplicate historical URL crawl,deduplicated,duplicate copy
file,_sub7_net_zip_links.txt,1G31bApaIZIZPxbrQBE82Bz0mgiqueHlr,1305,text/plain,Historical ZIP URL list,mirrored,URL records only
file,_sub7_net_zip_links.txt,1l6kUfz-mB39D0CF-z_AzBJcDgK2o5wgs,1305,text/plain,Duplicate ZIP URL list,deduplicated,duplicate copy
file,_sub7crew_org_rar_links.txt,1UR072XDX_X84_fLePdPxK6NSyMkDxXE8,295,text/plain,Historical RAR URL list,catalog only,malware-package paths not made direct downloads
file,_sub7crew_org_rar_links.txt,19MjzsD1lMNfovXtMzCSqY29vIJGH3DXX,295,text/plain,Duplicate RAR URL list,deduplicated,duplicate copy
file,_sub7crew_org_zip_links.txt,1SBgYB5g0vcrhhr16q5DrofYFdFyBbzBz,119,text/plain,Historical ZIP URL list,catalog only,malware-package paths not made direct downloads
file,_sub7crew_org_zip_links.txt,1vb9VQoJeeJtgZBKrzk14PkPVSrOQbhEg,119,text/plain,Duplicate ZIP URL list,deduplicated,duplicate copy
file,sub7.html,1RAV9jaOYeyk-e0WEklIlQpkxEL3VW2ak,3029,text/html,2025 fan/history page,mirrored as reference,not an original period website
file,sub7.html,1o5RTbXi1VedQrdF9aTX4hylPi9P6J1xP,3029,text/html,Duplicate fan/history page,deduplicated,duplicate copy
file,1698323969143.jpg,1vZXj2Kx8Es9aMR9Vm6p9OJnAzM7nqD4D,129938,image/jpeg,Classic SubSeven controller screenshot,mirrored,historical visual
file,1698323969143.jpg,1xLzK0RXqh_H9qL5lsde8zv10LzSImuEB,129938,image/jpeg,Duplicate controller screenshot,deduplicated,duplicate copy
file,art.png,1D6uvc3j-zQLvb0oK9hkuSNOjiC1-iRo9,1111935,image/png,SubSeven artwork/icon sheet,mirrored,historical visual
file,web.archive.org-bda1c48231.jpg,1vddFRyKM6xg1eD5nc37b74rcN1aUSku0,11299,image/jpeg,Wayback-related screenshot,available for review,
file,web.archive.org-4bd740875f.jpg,14LHn_nxIGn_OIM4iRnb_gU-uKG3AyKnV,11532,image/jpeg,Wayback-related screenshot,available for review,
file,gitlab.com-80bbfaea50.png,1NA7ZuZQ3D2woOakmHtIsB8jJ6zBpDjDm,,image/png,GitLab/source-code-page screenshot,available for review,
file,ss.1.0-enc.rar,1sSNV6g0KzqngaHS_lC3mThm65W7T1k4G,545132,application/rar,SubSeven 1.0 encrypted historical release,metadata only,not redistributed
file,ss.1.9.Apocalypse-enc.rar,1qWhAV4zHpe2URf9rZJbs7lNQtCtQLF35,914392,application/rar,1.9 Apocalypse encrypted historical release,metadata only,duplicate also present
file,ss.1.9.Apocalypse-enc 2.rar,1v4ScY9N-JeojfHEthfTbHkKCiv0qXiiG,914392,application/rar,Duplicate 1.9 Apocalypse archive,deduplicated,not redistributed
file,ss.2.0-enc.rar,1HCdrcAmkI65VHeLqDi1WqXFnPx39WY-0,1978683,application/rar,SubSeven 2.0 encrypted historical release,metadata only,not redistributed
file,s72.0.rar,1a0M5MPPVko5PFB2_CF3DF_6fpBbIahTO,,application/rar,Alternate 2.0-era package name,metadata only,not redistributed
file,ss.2.1.0-enc.rar,11BhGgLsxg5op0jGBGs_FEEwRgwvahv9T,1394230,application/rar,SubSeven 2.1.0 encrypted historical release,metadata only,duplicate also present
file,ss.2.1.0-enc 2.rar,18FRxisBIiOmfYC_BPsRmvuKwxdcB2NyH,1394230,application/rar,Duplicate 2.1.0 archive,deduplicated,not redistributed
file,ss.2.1.1-enc.rar,1NirwBd03HMSxbbDudFDW22cT5aS73XS7,2751465,application/rar,SubSeven 2.1.1 historical release,metadata only,not redistributed
file,ss.2.1.2-enc.rar,1tL1OTNdqHnEwzI8_QvHqyGB1rxRFMb_L,1661300,application/rar,SubSeven 2.1.2 historical release,metadata only,not redistributed
file,ss.2.1.3-enc.rar,1iJtAMJU9ve96IZDhoIXF1_Vc8vjbwhUO,1429077,application/rar,SubSeven 2.1.3 historical release,metadata only,not redistributed
file,ss.2.1.4-enc.rar,1RexZBch3KSF3UGr4nAlwBEY7xEl3OFo6,1417607,application/rar,SubSeven 2.1.4 historical release,metadata only,not redistributed
file,ss.2.2.0-enc.rar,1p3R_l6F_y4hzpbcDkceW8xxIQw_6i7kQ,2921188,application/rar,SubSeven 2.2 historical release,metadata only,Google explicitly malware-blocked raw download
file,sub7legends-enc.rar,1DsH6RI0kF4otzMHAhBR-ohQdSU0awKBx,1339783,application/rar,SubSeven Legends historical release,metadata only,duplicate also present
file,sub7legends-enc 2.rar,1nN5wt38IkIYMePdeSPhqI77vywwMBSrC,1339783,application/rar,Duplicate Legends archive,deduplicated,not redistributed
file,SubSeven_2.3.rar,1pGG3nMlKv3FPWErGpS3CfhO3CafOb05_,,application/rar,SubSeven 2.3 continuation archive,metadata only,not redistributed
file,SubSeven And Windows XP.rar,1PfO-0hExZ5AJHYGsXDgjoKLG-HTnd1KT,283843,application/rar,Compatibility/tutorial archive,metadata only,contents not independently verified
file,Sub7.net Default md5sum values.rar,1fUcBFqsNVz8jO1KUwfDj73DjErbgg0pe,17361,application/rar,Checksum/reference archive,metadata only,safe text extraction preferred if separately recoverable
file,Tutorial_Sub7.rar,1rt6KrgTz-UpK2vY8IYO31cQQQjc3SwNV,1254718,application/rar,Historical tutorial archive,metadata only,operational content not republished
file,Tutorial_Sub7_2.rar,1rp7L5ZE7uij3y2fPVkVL9y0fjVJ6l6BG,1530900,application/rar,Historical tutorial archive,metadata only,operational content not republished
file,sub7-main.rar,1pDju5gNryqMHhPEg8QSQ9FuF8wriMHyp,3012065,application/rar,Historical collection/source-related archive,metadata only,not redistributed
file,sub7_1_9.zip,1ThbKqq9pwZyTHti_ChFZ5decf79dvFv0,1299523,application/zip,Sub7 1.9 package in Other Sub7,metadata only,not redistributed
file,subseven20.zip,1bmI7yhXHtMzPv_fWCiealtOIxZrxfneY,1035557,application/zip,SubSeven 2.0 package in Other Sub7,metadata only,not redistributed
file,subpass.zip,1zFtF7yLnHKXRqdBrfRP0LmZpqaTLlGjx,6319,application/zip,Ancillary historical archive,metadata only,contents not independently verified
file,subpass 2.zip,1kPgyFhEUxR2C835FJz9kNLVfO9sEnwxD,6319,application/zip,Duplicate ancillary archive,deduplicated,
file,subuster.zip,1ur5drQqJ-5liGbITbs3cYnrMxxLIM9ed,29663,application/zip,Ancillary historical archive,metadata only,contents not independently verified
