record_id,type,name,size_bytes,mime_type,historical_role,duplicate_group,duplicate_status,public_treatment,notes
local-001,folder,Sub7 URL/site-history collection,,folder,Historical URL-crawl and site-history collection,,canonical,metadata/catalog,Local preservation collection
local-002,folder,Sub7 URL/site-history collection (older copy),,folder,Older/duplicate preservation tree,folder-sub7-url,duplicate,metadata/catalog,Preserved as a separate provenance record
local-003,folder,Sub7 historical release collection,,folder,Historical release/package collection,,canonical,metadata/catalog,Local preservation collection
local-004,folder,Other Sub7,,folder,Ancillary historical package collection,,canonical,metadata/catalog,Local preservation collection
local-005,file,_sub7crew_org_all_urls.txt,548749,text/plain,Historical URL crawl,crawl-sub7crew,canonical,publish-safe,Canonical crawl/index record
local-006,file,_sub7crew_org_all_urls.txt,548749,text/plain,Historical URL crawl,crawl-sub7crew,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-007,file,_sub7_net_all_urls.txt,65336,text/plain,Historical URL crawl,crawl-sub7net,canonical,publish-safe,Canonical crawl/index record
local-008,file,_sub7_net_all_urls.txt,65336,text/plain,Historical URL crawl,crawl-sub7net,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-009,file,_sub7_net_zip_links.txt,1305,text/plain,Historical package-path URL list,urls-sub7net-zip,canonical,record-only,Historical URL strings; not promoted as live malware downloads
local-010,file,_sub7_net_zip_links.txt,1305,text/plain,Historical package-path URL list,urls-sub7net-zip,duplicate,record-only,Duplicate copy retained in inventory
local-011,file,_sub7crew_org_rar_links.txt,295,text/plain,Historical RAR/add-on path list,urls-sub7crew-rar,canonical,record-only,Historical path evidence only
local-012,file,_sub7crew_org_rar_links.txt,295,text/plain,Historical RAR/add-on path list,urls-sub7crew-rar,duplicate,record-only,Duplicate copy retained in inventory
local-013,file,_sub7crew_org_zip_links.txt,119,text/plain,Historical ZIP/package path list,urls-sub7crew-zip,canonical,record-only,Historical path evidence only
local-014,file,_sub7crew_org_zip_links.txt,119,text/plain,Historical ZIP/package path list,urls-sub7crew-zip,duplicate,record-only,Duplicate copy retained in inventory
local-015,file,sub7.html,3029,text/html,2025 fan/history page,fan-sub7-html,canonical,publish-safe,Modern fan artifact; not an original 1999-2003 website
local-016,file,sub7.html,3029,text/html,2025 fan/history page,fan-sub7-html,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-017,file,1698323969143.jpg,129938,image/jpeg,Classic SubSeven controller screenshot,img-controller,canonical,publish-safe,Mirrored under assets/images with descriptive filename
local-018,file,1698323969143.jpg,129938,image/jpeg,Classic SubSeven controller screenshot,img-controller,duplicate,publish-safe duplicate record,Duplicate copy retained in inventory
local-019,file,art.png,1111935,image/png,SubSeven artwork/icon sheet,,canonical,publish-safe,Mirrored under assets/images with descriptive filename
