filename,type,role,evidence,availability,view_url,download_url,git_object_id,size_bytes,notes
Sub7Viewer.exe,EXE,Viewer/controller application,Declared output in official viewer installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,,,,Compiled executable is a declared build output rather than a standalone repository file
CertGenerator.exe,EXE,TLS certificate generator,Declared output in official installer manifests,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/CertGen/CertGenerator.dproj,,,,Declared build output
Sub7Service.exe,EXE,Windows service component,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Service/Sub7Service.dproj,,,,Declared build output
Sub7Helper.exe,EXE,Helper application,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Helper/Sub7Helper.dproj,,,,Declared build output
Sub7ServerTray.exe,EXE,Service controller / tray application,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/blob/main/Tray/Sub7ServerTray.dproj,,,,Declared build output
SecureDesktop.dll,DLL,Secure-desktop project output,Declared output in official server installer manifest,build-output,https://github.com/DarkCoderSc/SubSeven/tree/main/SecureDesktop,,,,Declared build output
bass.dll x86-32,DLL,BASS audio dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/bass.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/bass.dll,4be426435d68166192b1e2af91ffeb98745ff309,128181,Third-party dependency in modern Legacy repository
bass.dll x86-64,DLL,BASS audio dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/bass.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/bass.dll,825b68e2556e944e53c69f1ea70544471461817a,265728,Third-party dependency in modern Legacy repository
libcrypto-1_1.dll x86-32,DLL,OpenSSL cryptographic dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/libcrypto-1_1.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/libcrypto-1_1.dll,8e6dbbf41d261efd8fd0e89511dc88d50d4bbaab,2372096,Third-party dependency in modern Legacy repository
libcrypto-1_1-x64.dll x86-64,DLL,OpenSSL cryptographic dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/libcrypto-1_1-x64.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/libcrypto-1_1-x64.dll,a67e3c7f1c10b49dbb14787fcc1655cb10a7b275,3236864,Third-party dependency in modern Legacy repository
libssl-1_1.dll x86-32,DLL,OpenSSL TLS dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-32/libssl-1_1.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-32/libssl-1_1.dll,9a3fb8dd21e396e8a343dbe4a880ecd9ad5b37a5,706560,Third-party dependency in modern Legacy repository
libssl-1_1-x64.dll x86-64,DLL,OpenSSL TLS dependency,Present in official repository and installer manifest,direct-download,https://github.com/DarkCoderSc/SubSeven/blob/main/common-bin/x86-64/libssl-1_1-x64.dll,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/common-bin/x86-64/libssl-1_1-x64.dll,6126540c548db31b9d4ddaaeef8c4da673cb1c6d,916992,Third-party dependency in modern Legacy repository
Sub7Viewer.dproj,Delphi project,Viewer project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Viewer/Sub7Viewer.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Viewer/Sub7Viewer.dproj,,,Safe modern project metadata
Sub7Service.dproj,Delphi project,Service project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Service/Sub7Service.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Service/Sub7Service.dproj,,,Safe modern project metadata
Sub7ServerTray.dproj,Delphi project,Tray project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Tray/Sub7ServerTray.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Tray/Sub7ServerTray.dproj,,,Safe modern project metadata
Sub7Helper.dproj,Delphi project,Helper project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Helper/Sub7Helper.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Helper/Sub7Helper.dproj,,,Safe modern project metadata
CertGenerator.dproj,Delphi project,Certificate-generator project definition,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/CertGen/CertGenerator.dproj,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/CertGen/CertGenerator.dproj,,,Safe modern project metadata
setup_viewer.iss,Inno Setup,Viewer installer definition and package manifest,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_viewer.iss,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Setup/setup_viewer.iss,,,Safe modern installer source
setup_server.iss,Inno Setup,Server installer definition and package manifest,Present in official repository,source-file,https://github.com/DarkCoderSc/SubSeven/blob/main/Setup/setup_server.iss,https://raw.githubusercontent.com/DarkCoderSc/SubSeven/main/Setup/setup_server.iss,,,Safe modern installer source
