id,branch_or_version,category,hosting_status,repository_path,image_url,source_page,description,confidence
classic-representative,Classic family,controller,repository-hosted,assets/images/classic-subseven-interface.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/classic-subseven-interface.jpg,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/image-gallery.md,Representative classic controller/interface image; exact release not yet proven,medium
art-reference,Classic family,artwork,repository-hosted,assets/images/subseven-art-gallery.png,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/subseven-art-gallery.png,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/image-gallery.md,Historical SubSeven artwork/icon reference sheet,medium
wayback-reference,Website research,archive-reference,repository-hosted,assets/images/wayback-sub7-reference.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/wayback-sub7-reference.jpg,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/websites-and-wayback-history.md,Wayback/archive research reference image,high
sub7-org-retry,Website research,archive-retry,repository-hosted,assets/images/wayback-sub7-org-2001-retry.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/wayback-sub7-org-2001-retry.jpg,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/image-gallery.md,Sub7.org 2001 retry record; not an original-site screenshot,high
sub7crew-retry,Website research,archive-retry,repository-hosted,assets/images/wayback-sub7crew-org-2001-retry.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/wayback-sub7crew-org-2001-retry.jpg,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/image-gallery.md,Sub7Crew.org 2001 retry record; not an original-site screenshot,high
otenet-retry,Website research,archive-retry,repository-hosted,assets/images/wayback-otenet-sub7-files-2002-retry.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/wayback-otenet-sub7-files-2002-retry.jpg,https://github.com/rice2k/SubSeven-Historical-Archive/blob/main/docs/image-gallery.md,users.otenet.gr Sub7 Files/Extras 2002 retry record; not an original-site screenshot,high
illwill-source,2.1.2/2.1.3 source provenance,source-repository,repository-hosted,assets/images/illwill-sub7-source-provenance.jpg,https://raw.githubusercontent.com/rice2k/SubSeven-Historical-Archive/main/assets/images/illwill-sub7-source-provenance.jpg,https://gitlab.com/illwill/sub7,Preserved screenshot of the public source repository tree and its SubSeven 2.1.3 project description,high
mm-10,1.0,controller,external-source,,https://www.malware.museum/media/resources/2023/08/28/eef1034d-4380-451a-95b0-f8677edcc663.png,https://www.malware.museum/release/subseven/10/,SubSeven 1.0 release screenshot,high
mm-11,1.1,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/9c12cde9-d88d-44af-9ad8-26c57e1141be.png,https://www.malware.museum/release/subseven/11/,SubSeven 1.1 release screenshot,high
mm-12,1.2,controller,external-source,,https://www.malware.museum/media/resources/2023/08/29/108fcdc2-a583-4640-b11c-c1b4d9c2f59c.png,https://www.malware.museum/release/subseven/12/,SubSeven 1.2 release screenshot,high
