source_record,name,size_bytes,duplicate_group,status,role,archive_treatment
secondary-001,links.md,356929,,canonical,Large link/research export containing SubSeven references among unrelated material,"Index the source and extract SubSeven-relevant historical links; unrelated material is not imported wholesale"
secondary-002,README.md,356948,,canonical,Large link/research export containing SubSeven references among unrelated material,"Index the source and extract SubSeven-relevant historical links; unrelated material is not imported wholesale"
secondary-003,links (7).html,870975,secondary-links7,canonical,Large browser/link export used for historical URL discovery,"Extract SubSeven-relevant records only"
secondary-004,links (7).html,870975,secondary-links7,duplicate,Duplicate browser/link export,"Duplicate noted; no redundant public copy"
secondary-005,favorites_7_8_26.html,932782,secondary-favorites-7826,canonical,Bookmark export containing mixed research links,"Extract SubSeven-relevant records only"
secondary-006,favorites_7_8_26.original_backup.html,932782,secondary-favorites-7826,duplicate,Backup/duplicate bookmark export,"Duplicate noted; no redundant public copy"
secondary-007,favorites_7_8_26_organized.html,1166663,,canonical,Organized bookmark export containing mixed research links,"Extract SubSeven-relevant records only"
secondary-008,links_directory_pro.xlsx,377083,secondary-links-xlsx,canonical,Structured link directory used for discovery,"Extract SubSeven-relevant records; unrelated rows remain outside this archive"
secondary-009,links_directory_pro.xlsx,377083,secondary-links-xlsx,duplicate,Duplicate structured link directory,"Duplicate noted; no redundant public copy"
secondary-010,Rice_Master_Bookmarks.html,584575,secondary-bookmarks,variant,Bookmark collection variant used for discovery,"Extract SubSeven-relevant records only"
secondary-011,Rice_Master_Bookmarks.html,397611,secondary-bookmarks,variant,Bookmark collection variant used for discovery,"Extract SubSeven-relevant records only"
secondary-012,Rice_Master_Bookmarks.html,599110,secondary-bookmarks,variant,Bookmark collection variant used for discovery,"Extract SubSeven-relevant records only"
secondary-013,favorites_7_29_25.html,766561,,canonical,Older bookmark export used for discovery,"Extract SubSeven-relevant records only"
secondary-014,bookmark_binder_report.html,475994,,canonical,Bookmark/link analysis report used for discovery,"Extract SubSeven-relevant records only"
secondary-015,resource-links.md,, ,canonical,Deduplicated multi-project URL research list,"Only SubSeven-specific records are incorporated into this archive"
